,Date,User,Tweet
51,2022-10-05 12:24:18+00:00,Teddykimany,@mwirigi254 @STEPHEN83103348 @KTNNewsKE Monsanto controlling our food seedlings is a threat to national security...President Ruto  #BanGMO until we have capacity to engineer and produce our own seedlings through Kenya Agricultural Research Institute KARI .... nimeona KOT amesema hata Vera Sidika ametolewa GMO 😅😅
52,2022-10-05 12:22:31+00:00,Willydeezle_90,"@HKigwangalla No GMO, it's a New World Order"
53,2022-10-05 12:21:03+00:00,Teddykimany,@Tuko_co_ke Vera Sidika ametolewa GMO... President Ruto ban American GMO
54,2022-10-05 12:17:15+00:00,Teddykimany,@ntvkenya Hata Vera Sidika amekubali hizo GMO ni mbaya sana #BanGMO
55,2022-10-05 12:13:51+00:00,KachamaNixon,@gmahugu46 @ephraimnjegafan sounds to me like they'll become cross breed. and the quality effects of both can be beneficial. besides am sure we can designate special controlled farms for GMO if cross breeding be the issue.
56,2022-10-05 12:13:18+00:00,AmunaTv,"Father allegedly stangles his two kids and sets the house on fire in Bombolulu Mombasa..
Get this and other news on our YouTube page AMUNA Tv
 #kenya #KenyaVsUganda #gmo #bombolulu #nairobi #darlentina #kenyanews @LarryMadowo @theTrendLive @aminaabdirabar #amunatv #mluhyaflani https://t.co/fWfjYfZy5n"
57,2022-10-05 12:11:24+00:00,Kushtwit1,"@SokoAnalyst GMO issue should be investigated and conclusively decided by a fact finding commission comprising scientists and taken to parliament for approval. Taking it to a referendum will attract unnecessary polarisation of citizens by ignorant politicians, activists and religious zealots."
58,2022-10-05 12:09:03+00:00,gmahugu46,"@KachamaNixon @ephraimnjegafan In full time the GMOs WILL KILL THE DOMINANT SEEDS and there will be no choice!..the close pollination with GMOs, all food will eventually becomes GMO"
59,2022-10-05 12:02:19+00:00,axel_yoh,@NahashonKimemia Maybe you should not narrow your mind to GMO engineered foodstuffs. This subject is very broad and many countries have embraced the technology without being preoccupied with corn maize  like our fellows here.
60,2022-10-05 11:59:37+00:00,NkyaMakarios,@HKigwangalla GMO makes farmers slaves. That you'll need to buy seeds everytime you want to plant.
61,2022-10-05 11:58:06+00:00,Sudi76,@Bomori80 @Aaroncheruiyot The US tour immediately after inauguration was all about GMO business nothing to do with kenyans.
62,2022-10-05 11:56:32+00:00,IBRAHIMDAVIDKE1,"@Ithoka @StandardKenya Kenyans are waiting for Economy to return to the days of President Kibaki &amp; you just yelling for nothing,100 days still counting nothing seems to change bt you have come up with your strategy of GMO which end of the day will give Kenyans hypertension &amp;pancreatic illness Rubbish🚮"
63,2022-10-05 11:55:45+00:00,Sudi76,@OgolaKing @Aaroncheruiyot UDA signed agreement for GMO to be introduced to kenya without public participation.
64,2022-10-05 11:55:39+00:00,NezilCuddy2,"UDA government:
We have inherited a dilapidated economy from the Handshake Government  but we are working to restore it from where Kibaki left it.

Also UDA government: 
We have seen it necessary to lift the ban on GMO food supply of 2012. Why are you shaming the blueprint guys."
65,2022-10-05 11:53:07+00:00,gmahugu46,"@MacMungy @ephraimnjegafan @africaupdates You are on point here,...and for those saying there should be choices btw GMO and organic, should know the GMOs will pollinate and kill the dominant seeds, end of organic food is sure in a nearby future,"
66,2022-10-05 11:51:42+00:00,KevmanXII,"@MissNasike Seed is controlled by KEPHIS, whether GMO or not. Seed is only sold by a few private companies, and Kenya Seed because it requires a huge investment to produce good varieties.

Production of grain OTOH is left to the farmers, and govt to provide an enabling environment."
67,2022-10-05 11:50:59+00:00,MwanzoTv,"Serikali ya #Kenya yabatilisha uamuzi wa kupiga marufuku mbegu za GMO. 

#GMO 

TAZAMA VIDEO: https://t.co/lhCyTOPAOr"
68,2022-10-05 11:50:02+00:00,Sudi76,@JohnKingoo20 @Aaroncheruiyot No wonder the US ambassador was at the Bomas pressing Chebukati to announce carmago president. It was all about GMO business.
69,2022-10-05 11:48:57+00:00,Teddykimany,@NimuKiarie Ati Vera Sidika ametolewa GMO waah waah ambieni President Ruto #BanGMO Kenya mtamalizwa na cancer za GMO
70,2022-10-05 11:48:20+00:00,STEPHEN83103348,"@DenisDr19 @KTNNewsKE Now that GMO has not been at work is Kenya why has there been increased incidents of Cancer?? 
M"
71,2022-10-05 11:45:13+00:00,1008N215S315,@EWaitare @Cdee_Pakah @HKigwangalla @ZachariaMJoshua Kuku na mayai ya kisasa sio among GMO products
72,2022-10-05 11:44:24+00:00,W_Enoka,#GMO feed is death sentence.
73,2022-10-05 11:43:03+00:00,ClenyCleen,"Vera Sidika ni kama hizi GMO SEEDS, they look HALTHY  but they are NOT.😂😆"
74,2022-10-05 11:42:55+00:00,seleekitavi,@citizentvkenya GMO Maize ama?
75,2022-10-05 11:41:44+00:00,wamarubuku45,@Davido_Lubi GMO buttocks!
76,2022-10-05 11:39:40+00:00,FrankOmondi14,@JohnSalamajama @CheekODread @DonaldBKipkorir GMO foods should be made abundantly available but clearly labelled as GMO so that those with imaginary phobia may opt for organic foods.Who will opt to die of hunger or malnutrition for fear of obesity?
77,2022-10-05 11:39:30+00:00,STEPHEN83103348,"@KTNNewsKE GMO isn't the issue... The issue lies on how we moderate Science and the products developed via GMO.... No matter how add we fight it we shld accept the fact that it has led to improved productivity...

E.g the potatoes yield we enjoy in Kenya today is due to GMO"
78,2022-10-05 11:36:53+00:00,STEPHEN83103348,"@Teddykimany @KTNNewsKE I pity this statement... Especially when i get to realise that most potatoes consumed in Kenya are genetically modified.... 
Unless pple don't know what GMO entails"
79,2022-10-05 11:34:27+00:00,_samuelMaringa,Mambo ya GMO ni kama imeachiwa tu plants sasa.
80,2022-10-05 11:31:03+00:00,annenjiku,Sign the petition to stop the Kenya government decision to lift the ban on GMO Foods @IATP @Million_Belay @Afsafrica @FundAgroecology @PelumRegional @AfricanBiodiv @routetofood @ETC_Group @_Atamba @giz_gmbh https://t.co/7kaAXYYT29
81,2022-10-05 11:28:22+00:00,13Menengai,@StandardKenya I will avoid eating GMO foods. It's my way of protesting.
82,2022-10-05 11:28:04+00:00,HopeTV_KE,Farmers in Uasin Gishu County welcome lifting of 10-year ban on GMO crops ;urge government to install measures to weed out middlemen. #HopeNewsWatch https://t.co/BMW3RgG0Fc
83,2022-10-05 11:26:44+00:00,annenjiku,Stop the Kenyan Government decision to lift the ban on GMO Foods - Sign the Petition! https://t.co/HVknrgv1MO via @ChangeOrgKE
84,2022-10-05 11:20:46+00:00,Teddykimany,@KTNNewsKE GMO zirudishwe huko America president Ruto anataka kutuletea cancer huku .... kama KARI does not produce seedlings we are putting food security in the hands of foreigners.  Kibaki banned GMO for a reason #BanGMO
85,2022-10-05 11:20:41+00:00,ThepoliticalEy2,@StandardKenya The kk government don't care the well being of her citizens. Iam not sure anyone in executive can dare test Gmo products.
86,2022-10-05 11:14:36+00:00,catherine_amayi,"7/8. KE is food insecure due to neoliberal food policies &amp; land hoarding by the elite, not food species. You seriously think that GoK chartalans who've been overseeing the mass deaths of cattle in northern counties are lifting a ban on GMO beef to boost food security? Lol."
87,2022-10-05 11:10:47+00:00,Omakori,"@marubekevin80 @CharlesKabaiku @cbs_ke @NahashonKimemia @RasnaWarah GMO we can't afford shortcuts. If those are present, we stop"
88,2022-10-05 11:07:09+00:00,catherine_amayi,"2/8. Lifting that GMO ban has massive socio-political implications, not just to consumers, but to our entire food chain. Due to the patents, owners often ban indigenous seeds, push local farmers into forever debt, ban pollination (just imagine) &amp; consequently, land disposession"
89,2022-10-05 11:06:06+00:00,NdianguiKing,@jcniyomugabo GMO
90,2022-10-05 11:04:22+00:00,catherine_amayi,"1/8. The GMO debate has quickly deteriorated into ""but GMO are already here, what's wrong with lifting a ban?"". Such analyses are not just reductive, but they intend to confuse us on the real issue at stake which is the racist ideologies of the corporates behind food biotech"
91,2022-10-05 11:03:21+00:00,AndrewUnited7,Otile Brown dodged a bullet hapo kwa Vera Sidika bana. Boychild had gone for GMO
92,2022-10-05 11:03:17+00:00,eSGeeCee,@StandardKenya Absolutely! But before that Parliament should censure cabinet's decision lifting the ban on GMO. That's why we elected them.
93,2022-10-05 10:58:00+00:00,spotonews,Historic Moment in Kenya as Government Lifts GMO Ban https://t.co/rGnNdYCkVK
94,2022-10-05 10:57:30+00:00,Borerop,@RodgersKipembe Ndio agenda ya GMO iagend ama
95,2022-10-05 10:57:06+00:00,Meruicon4,#vybeayard @Browngalnessa @deejaypatiz lisimalo lipo na kama halipo laja sasa hizo vitu za GMO ni noomaa
96,2022-10-05 10:56:35+00:00,OffishallKe,"Utapata msee wa north akisema No to GMO, like do you people have options?"
97,2022-10-05 10:55:41+00:00,Meruicon4,"#vybeayard @Browngalnessa @deejaypatiz mambo na Gmo it's a no go zone ...
Technology ndo inatumaliza"
98,2022-10-05 10:54:21+00:00,MsakaTonge04,"@HKigwangalla Tafiti hupingwa na Tafiti, Tunapaswa kufanya tafiti ili kuipinga GMO,  na kama ni suala la utegemezi wa mbegu,  mbna hata hizi mbegu za mahindi zinazopitishwa na TOSCI na kuuzwa agrovets bado hauwezi kuzipanda na ukapata mavuno yale yale,  inatokea segregation🙄"
99,2022-10-05 10:51:47+00:00,KivumbiBrian,@kirya_ug GMO
100,2022-10-05 10:51:19+00:00,Ja_Kopul,CBC will create jobs in the market … GMO will end famine … 😣😖😫 https://t.co/J0VefY0OJU
101,2022-10-05 10:48:42+00:00,wanjunia,"@NahashonKimemia One question you refused to answer is,can you show as a scientific data and research that shows usage of GMO's causes Cancer at a rampant rate"
102,2022-10-05 10:48:35+00:00,Ja_Kopul,"@gachoki_munene You are very far off the mark on this discussion ,  GMO will not work some magic to stop famine ? Or the lack of GMO is not what causes famine ? Famine is a result of GoK failure … Also read widely on this subject utaelewa tu ,safety of GMO should be the least of your worries"
103,2022-10-05 10:48:17+00:00,abushkevoh,Ubaya ya matako za GMO 😢😭 https://t.co/mULGVleJv6
104,2022-10-05 10:43:47+00:00,QevohSpice,"@VybezRadioKE @Browngalnessa @deejaypatiz GMO ni chakula zikona uchiwawa😂

#vybeayard"
105,2022-10-05 10:42:44+00:00,eduochieng,@paulmwiu @citizentvkenya Tumekula Mpaka plastic rice sasa GMO ni kitu ya kutushtua.
106,2022-10-05 10:42:41+00:00,omwohareuben7,"@StandardKenya If it's true that with time after consumption of gmo products we will be resistant to antibiotics then the answer is yes, we are with him on this. 
A referendum should be held to actualize or reject it's consumption."
107,2022-10-05 10:38:55+00:00,Just_a_KenN,"@katenderu But it's the least we can do
Disclosure
If you are selling GMO let the people know"
108,2022-10-05 10:34:52+00:00,Just_a_KenN,"@katenderu Itakuwa ngumu, but disclosure must be compelled
anyone selling GMO must be compelled to disclose and the county governments that man hizo soko must enforce"
109,2022-10-05 10:32:35+00:00,ElseayM,"@VybezRadioKE @Browngalnessa @deejaypatiz GMO ni za wanyama izo zingine niza wadudu...
#Vybeayard"
110,2022-10-05 10:32:31+00:00,Massculini,"@_fels1 With the reintroduction of GMO , food will be overproduced henced low prices (Kibaki style)"
111,2022-10-05 10:29:17+00:00,kingethuk,"CIA/MI6/NAIROBI CONNECTION!!!
US &amp; UK compromised the machinery and took charge of IEBC and INSTALLED Kenya Kwanza Govt. They've now ISSUED the FIRST ORDERS through a HURRIED Cabinet meeting that allowed GMO's.

Ruto's Gov't is being controlled from Washington!!!!"
112,2022-10-05 10:26:38+00:00,babangidahh,Gmo ni tragedy https://t.co/xZbKzE2nHS
113,2022-10-05 10:24:25+00:00,ItsOudia,Leo @DeejayZAQ na @Mwafreeka wamebonga kuhusu Monsanto na GMO. Watu wakumbuke zile kesi zote za throat cancer in the 90s &amp; early 2000s hapa Kenya.
114,2022-10-05 10:24:09+00:00,kubasu03,"@VybezRadioKE @Browngalnessa @deejaypatiz Watu wakule mbutaaaa 😹😹😹😹😹😹😹
Gmo unakula foods unaanza kunina uso.
#VybeAyard"
115,2022-10-05 10:19:48+00:00,NahashonKimemia,"Most of our GMO science 'experts' get cash for their work from Americans and Europeans. That is why they rarely suggest anything that helps us. Their hustle depends on pleasing the West. Remember, he who pays the piper calls the tune."
116,2022-10-05 10:17:49+00:00,NahashonKimemia,"Before we accept what our 'experts' from the Biodiversity Authority say, can they tell us who funds them? Also, what is it that they know about GMO that German, French, Austrian, Swiss, etc experts do not?🤔"
117,2022-10-05 10:14:26+00:00,wanjunia,@nehemiah_bosire @NahashonKimemia Is there any proven data which is scientific that shows GMO's are the main cause of cancer?
118,2022-10-05 10:12:52+00:00,Million_Belay,Stop the Kenyan Government decision to lift the ban on GMO Foods - Sign the Petition! https://t.co/89CFtFFhFJ via @Change
119,2022-10-05 10:11:17+00:00,KazuriJo,"@NahashonKimemia Actually a good chunk of the GMO is done here in Kenya by local experts. Get a perspective from a biotech pioneer Prof Florence Wambugu
https://t.co/mtvZiKsa9o"
120,2022-10-05 10:06:15+00:00,musyaba,"@JamesOleKiyiapi GMO is a very wide term that encompasses very good technology and potentially harmful technology
If you remove the ban, you must put in place a robust regulation regime to protect your citizens from harmful technology
Like we do for medicines, pesticides, herbicides,..."
121,2022-10-05 10:05:17+00:00,ChegeAloysius,"@VybezRadioKE @Browngalnessa @deejaypatiz Chakula za GMO unakula kushiba pekee Lakini hizi zingine zinashibisha na pia kujenga mwili kwa sababu ziko na madini yote. Food should also be part of medicine na msidanganywe ati GMO Iko na healing properties.
#Vybeayard"
122,2022-10-05 10:03:50+00:00,Omuyangu,"@News_Kenya There is FDA, EPA and FDA strickly monitoring GMO production to ensure they are fit for human consumption. Here, maize is found with excess affloxin levels and sold. We use cooking oil for years, an s one says UNFIT. We Don want GMO."
123,2022-10-05 10:03:25+00:00,kevinyangoo44,"Inorganic farming at its peak,just to counter overhelming fimine.This time people will die healthy courtesy of GMO.👏👏👏👏"
124,2022-10-05 10:02:12+00:00,gachoki_munene,@Ja_Kopul If you asked me which death I would choose between GMO related issues and hunger I know my answer. Can you threaten a poor hungry man with death? He dies every day
125,2022-10-05 10:01:01+00:00,kairetukene001,"@VybezRadioKE @Browngalnessa @deejaypatiz Na guess za GMO wanatumia commercial fertilizers na original foods hukuzwa na  mbolea ni ile ya wanyama 
#VybeAyard"
126,2022-10-05 10:00:39+00:00,gatwiri_njeru,#JournoRequest. I'm looking for scientists or science organisations in Kenya willing to comment on GMO concerns for The Standard @StandardKenya.
127,2022-10-05 10:00:08+00:00,gachoki_munene,I have no stats on cancer based GMO but would we rather have a population dying of hunger every year than increased food production via science?
128,2022-10-05 09:59:24+00:00,JG_Kinyua,@_Atamba Listened to you @_Atamba this morning. Great insight on matters GMO @SpiceFMKE @ctmuga @EricLatiff
129,2022-10-05 09:58:47+00:00,mtumkenya,"@NahashonKimemia Number one is wrong and it is the greatest reason we need GMO. Drought resistant crops will ensure we have adequate harvests even with minimal water. Same to the other points, GMO = increased harvests = domino effect across other sectors."
130,2022-10-05 09:57:18+00:00,mwaimark,"The whole GMO debate should be a non-issue in a 3rd world country facing a looming famine, either we let some people eat the GMO food or die, simple, tomorrow is not promised either way."
131,2022-10-05 09:56:09+00:00,gachoki_munene,@JamesOleKiyiapi Prof can we say for sure we didnt have GMO? Why do i think we have had them chini chini?
132,2022-10-05 09:55:11+00:00,MGithuga,US pushed UHURU to allow importantion of GMO food from US immediately he took over power. He refused. They did the same with Ruto. He gave in. Am sure he will not he will not eat GMO food. He just don't care about us
133,2022-10-05 09:51:54+00:00,ClaireDuDieu,"Government lifts 10-year ban on GMO foods, what next? - https://t.co/tCUfCcptxK"
134,2022-10-05 09:51:00+00:00,senor_shack,@RodgersKipembe tutakula GMO
135,2022-10-05 09:45:56+00:00,Mandela_O1,Now you know..stay away from GMO foods. https://t.co/k0KO6WNmae
136,2022-10-05 09:43:50+00:00,Driller254_,@VybezRadioKE @Browngalnessa @deejaypatiz Za GMO zinashine sana na ni kubwa excessively in short haikai natural #Vybeayard #Vybeayard
137,2022-10-05 09:43:21+00:00,OmaryMwaimu,"@HansB_Kasenga77 Tulikosea mwaka ule (juzi juzi) kufunga tafiti za GMO zilizokua zinaendelea nchini, tungepata majibu ambayo yangesaidia kufanya 'informed decisions '"
138,2022-10-05 09:40:14+00:00,JackMwilu,"@gayahg @AntonyMuhuma @StandardKenya 😅Do you know how many foods substances have been rumoured to cause cancer?

If you get the leai you will not eat from today..as a matter of fact the tomatoes in today's market are GMO"
139,2022-10-05 09:39:56+00:00,NahashonKimemia,"We import fish from China and now we want GMO seeds from the US. Ugandan milk and eggs are cheaper than Kenyans ones. Na mnasema ati govt is trying to help us solve food insecurity? Ha ha ha... the more food insecure we are, the more subservient we become. Govt is not our friend"
140,2022-10-05 09:38:28+00:00,alutacontinuee,@rchboy9 @tallan_malique @HKigwangalla @MissNasike Unaijua scale ya irrigation kwa tz ipoje? Asilimia kubwa bado tunafanya seasonal farming ambapo mbegu za asili haziwez kuhimili.. Kwani mfano papai kama malaika siyo gmo? Ile migomba inaoteshwa kwa mbegu siyo gmo?
141,2022-10-05 09:35:56+00:00,KibetBenard_,"Kenyans it is not about fighting the GMO it's about making laws for safe GMO products for kenyans.
GMO is used everywhere in developed nations but we must invest on safety."
142,2022-10-05 09:35:50+00:00,BrianMulla7,What is GMO?I have realized most people don't understand a thing about it.
143,2022-10-05 09:35:12+00:00,MumoOnesmas,"Azimio questions Ruto's decision to use Uhuru's Outgoing cabinet to lift the ban on GMO
https://t.co/qK1t2XFxeI
#GMOs #Kenya #news #NewsBreak #agriculture #food"
144,2022-10-05 09:34:52+00:00,ChegeAloysius,"@VybezRadioKE @Browngalnessa @deejaypatiz Chakula za GMO unakula kushiba pekee Lakini hizi zingine zinashibisha na pia kujenga mwili kwa sababu ziko na madini yote. Food should also be part of medicine na msidanganywe ati GMO Iko na healing properties.
#Vybeayard"
145,2022-10-05 09:32:09+00:00,NMuasa,@KTNNewsKE As a lawyer and senator he should work on the framework of having it safe for his people. What's the difference btn GMO and the chemically engineered chicken sold in the market now and no one is saying nothing. Let's stop the crap of competition chest thumbing and do the right
